Idade,Score,Limite_Credito,Inadimplente,Cidade,Emprego,Renda_Mensal
26,501,4576,0,Porto Alegre,Assalariado,2023
69,722,7390,0,São Paulo,Empresário,9602
61,384,4472,0,São Paulo,Desempregado,548
53,554,5099,0,Porto Alegre,Autônomo,4684
22,656,5992,0,Rio de Janeiro,Estudante,397
66,577,5701,0,Fortaleza,Empresário,10977
43,659,7148,0,Fortaleza,Empresário,9397
60,483,6560,0,Salvador,Desempregado,249
48,740,5484,0,Belo Horizonte,Assalariado,2681
24,447,4960,1,São Paulo,Autônomo,4348
22,650,7459,0,Porto Alegre,Assalariado,2415
30,739,9162,0,Porto Alegre,Autônomo,5644
36,790,9675,1,Fortaleza,Assalariado,2555
24,758,6846,0,Porto Alegre,Desempregado,-119
45,804,8155,0,Salvador,Empresário,10343
57,439,3757,1,Rio de Janeiro,Empresário,10317
50,833,9189,0,Fortaleza,Assalariado,2812
34,695,7775,1,Salvador,Autônomo,4024
43,775,8595,0,São Paulo,Autônomo,5378
37,421,3649,1,Fortaleza,Assalariado,2628
48,770,6609,0,Belo Horizonte,Desempregado,-59
31,464,4139,1,Porto Alegre,Assalariado,2998
23,392,4363,1,Rio de Janeiro,Desempregado,1140
36,570,6089,0,Salvador,Empresário,10199
47,800,8014,0,Fortaleza,Desempregado,22
33,760,8652,0,Porto Alegre,Autônomo,5122
23,386,2711,1,Fortaleza,Autônomo,4600
24,721,5275,0,Fortaleza,Autônomo,4130
60,707,5937,0,Rio de Janeiro,Autônomo,4026
52,432,5984,0,Porto Alegre,Desempregado,586
20,305,2998,0,Fortaleza,Assalariado,2205
24,561,4556,0,Belo Horizonte,Autônomo,5419
69,419,5585,0,Salvador,Estudante,845
18,374,4267,0,Belo Horizonte,Autônomo,5314
65,368,2647,0,Fortaleza,Empresário,9228
51,496,5475,1,São Paulo,Assalariado,3482
23,324,1883,1,Rio de Janeiro,Desempregado,-223
33,630,7132,0,Fortaleza,Empresário,9706
65,320,4265,1,Salvador,Empresário,10640
64,363,5076,1,Salvador,Assalariado,3770
36,565,6456,0,Salvador,Empresário,10413
21,453,4412,0,Belo Horizonte,Desempregado,736
39,325,4587,1,Porto Alegre,Estudante,1562
19,441,5730,1,Fortaleza,Assalariado,2327
66,390,2052,0,Salvador,Estudante,546
43,651,6002,0,Belo Horizonte,Autônomo,4165
48,332,3232,0,Salvador,Empresário,9025
25,470,2727,1,Porto Alegre,Autônomo,5956
36,801,7230,0,Fortaleza,Autônomo,5649
43,417,5524,0,Salvador,Autônomo,5048
54,303,3994,0,São Paulo,Autônomo,4512
39,413,4802,0,Belo Horizonte,Empresário,10533
32,556,6591,0,Salvador,Empresário,10203
53,327,3382,0,Rio de Janeiro,Empresário,9309
21,715,6742,0,Belo Horizonte,Autônomo,5381
46,592,6472,0,São Paulo,Estudante,1722
19,630,4425,0,Fortaleza,Autônomo,4531
53,497,3132,1,São Paulo,Empresário,9430
37,357,3884,1,São Paulo,Autônomo,5766
43,685,8127,0,Porto Alegre,Assalariado,2626
23,477,5291,0,Porto Alegre,Empresário,10896
61,450,2886,1,Rio de Janeiro,Desempregado,-245
46,742,8645,0,Belo Horizonte,Empresário,10618
22,488,6422,0,Porto Alegre,Assalariado,3678
59,317,2404,1,Rio de Janeiro,Autônomo,5795
64,675,8423,0,Belo Horizonte,Empresário,10998
22,668,5026,0,Belo Horizonte,Autônomo,5456
63,738,9123,0,Porto Alegre,Autônomo,4769
63,634,8275,0,Rio de Janeiro,Assalariado,2884
47,664,5519,0,Belo Horizonte,Assalariado,2530
46,466,3144,0,Fortaleza,Desempregado,1
19,667,5295,1,Fortaleza,Empresário,10137
25,773,7935,0,São Paulo,Autônomo,5786
58,381,2978,1,Belo Horizonte,Desempregado,929
53,549,5402,0,São Paulo,Estudante,854
21,334,5054,1,Salvador,Empresário,9087
52,437,4669,0,Porto Alegre,Autônomo,5494
59,509,4611,0,Rio de Janeiro,Empresário,9228
39,828,10135,0,Fortaleza,Estudante,471
60,459,6393,1,Salvador,Assalariado,3186
51,600,6783,0,Rio de Janeiro,Desempregado,-297
33,746,6316,0,Porto Alegre,Empresário,9873
23,563,4777,0,Porto Alegre,Desempregado,275
34,451,3264,0,Fortaleza,Autônomo,4746
63,524,6157,1,São Paulo,Estudante,1629
33,521,6124,0,São Paulo,Desempregado,772
18,701,5248,0,Rio de Janeiro,Empresário,10233
67,547,7032,0,Porto Alegre,Assalariado,3014
41,362,3686,0,Salvador,Autônomo,4808
37,836,9883,0,Rio de Janeiro,Autônomo,4768
69,405,4494,1,Porto Alegre,Desempregado,1421
26,718,7571,0,Fortaleza,Desempregado,615
35,392,4272,1,São Paulo,Empresário,9940
45,333,4479,1,Rio de Janeiro,Estudante,149
63,416,5129,0,Rio de Janeiro,Estudante,1898
27,448,3022,0,Porto Alegre,Autônomo,5197
60,366,3349,0,Salvador,Autônomo,4723
22,703,6603,0,Salvador,Estudante,1945
64,495,4417,0,Rio de Janeiro,Empresário,10333
65,336,1740,1,Salvador,Empresário,9765
40,343,3957,1,São Paulo,Empresário,9974
64,598,6334,0,Porto Alegre,Autônomo,4469
49,659,6578,0,Belo Horizonte,Desempregado,188
35,321,1659,1,Salvador,Desempregado,-91
27,363,4180,0,São Paulo,Assalariado,3096
49,806,7456,0,Fortaleza,Assalariado,3926
30,504,3574,0,Porto Alegre,Desempregado,1032
20,377,5177,1,Fortaleza,Desempregado,-291
36,620,6356,1,Rio de Janeiro,Empresário,9983
63,789,7430,0,Rio de Janeiro,Estudante,386
28,469,4162,0,Belo Horizonte,Assalariado,2095
41,802,7590,0,Rio de Janeiro,Desempregado,506
36,792,6318,0,Fortaleza,Autônomo,5354
53,527,7151,0,Belo Horizonte,Empresário,10555
29,438,3652,0,Rio de Janeiro,Empresário,9040
42,518,6090,0,Fortaleza,Empresário,10662
46,530,6370,0,Salvador,Empresário,10470
44,655,6994,1,Rio de Janeiro,Assalariado,2471
56,323,4179,1,Porto Alegre,Assalariado,2122
47,554,6955,0,Belo Horizonte,Desempregado,578
58,613,7770,0,Fortaleza,Desempregado,1240
55,837,8578,0,Belo Horizonte,Assalariado,2347
59,725,7923,0,Rio de Janeiro,Empresário,10331
32,808,6559,0,Rio de Janeiro,Estudante,5
57,598,5521,0,Salvador,Assalariado,3264
29,668,5751,0,Fortaleza,Assalariado,3971
60,746,9310,0,Salvador,Estudante,578
26,608,7305,0,Rio de Janeiro,Estudante,471
23,633,4839,0,Fortaleza,Estudante,1460
20,381,3041,0,Porto Alegre,Autônomo,4665
18,668,7918,0,Porto Alegre,Empresário,10667
47,506,5104,1,São Paulo,Autônomo,4998
67,396,2879,1,Fortaleza,Empresário,9694
54,424,3197,1,Porto Alegre,Estudante,721
42,571,6834,1,Rio de Janeiro,Assalariado,3500
60,612,5082,0,Rio de Janeiro,Assalariado,2017
42,546,3573,1,Porto Alegre,Desempregado,-422
68,421,2327,0,Porto Alegre,Estudante,1938
32,765,7151,1,Fortaleza,Estudante,1533
59,643,7623,1,Rio de Janeiro,Empresário,9604
39,592,5520,0,Rio de Janeiro,Estudante,247
40,731,7375,0,Rio de Janeiro,Desempregado,782
39,842,7434,0,Salvador,Assalariado,2202
57,525,6338,0,Salvador,Autônomo,4904
43,824,6807,0,Salvador,Autônomo,4369
60,535,4277,0,Fortaleza,Assalariado,3305
18,508,4056,0,Fortaleza,Desempregado,-296
42,733,5994,0,Porto Alegre,Estudante,149
39,696,5281,0,Fortaleza,Estudante,558
19,524,6739,0,Porto Alegre,Assalariado,2229
20,818,8304,0,Rio de Janeiro,Assalariado,3975
28,773,8471,0,Porto Alegre,Assalariado,2728
25,623,5808,0,Belo Horizonte,Estudante,1022
32,842,6704,0,Rio de Janeiro,Desempregado,-271
40,379,1810,0,São Paulo,Autônomo,5649
66,700,5016,0,Fortaleza,Estudante,717
61,635,6561,0,Salvador,Autônomo,4045
53,597,7696,0,Salvador,Desempregado,979
61,415,5186,1,Rio de Janeiro,Desempregado,1081
42,621,6436,0,Rio de Janeiro,Assalariado,3989
62,606,4166,0,São Paulo,Autônomo,5387
30,650,6449,0,Rio de Janeiro,Desempregado,60
40,465,6457,1,São Paulo,Desempregado,1182
66,514,5787,0,Fortaleza,Assalariado,2519
44,314,2935,0,Fortaleza,Empresário,9764
59,553,5438,0,São Paulo,Autônomo,4318
61,826,6942,0,Fortaleza,Empresário,10396
69,661,5443,0,Fortaleza,Empresário,10937
69,400,5044,0,Salvador,Autônomo,5093
53,341,4762,1,Fortaleza,Assalariado,2185
56,800,6962,0,Porto Alegre,Empresário,10481
25,842,9682,0,Rio de Janeiro,Assalariado,3785
46,493,5245,0,Fortaleza,Assalariado,3691
33,434,3877,1,Salvador,Autônomo,4598
24,459,4580,1,Porto Alegre,Empresário,10822
49,655,8417,0,Fortaleza,Estudante,761
40,352,5453,1,São Paulo,Autônomo,4855
65,831,8626,0,Belo Horizonte,Desempregado,404
48,351,5243,0,São Paulo,Assalariado,3867
54,413,2243,0,Fortaleza,Autônomo,4115
45,308,2303,0,Rio de Janeiro,Assalariado,2806
29,830,9084,0,São Paulo,Assalariado,2710
23,479,3196,0,São Paulo,Assalariado,3791
57,711,7489,0,Belo Horizonte,Desempregado,369
40,550,5606,0,Fortaleza,Desempregado,480
31,445,4123,1,Salvador,Autônomo,4884
55,414,2459,0,Rio de Janeiro,Autônomo,4159
24,819,7494,0,Rio de Janeiro,Assalariado,2395
42,338,4883,1,Fortaleza,Desempregado,1136
29,601,4653,0,Porto Alegre,Autônomo,5174
45,796,7898,0,Belo Horizonte,Desempregado,588
27,315,2351,0,São Paulo,Autônomo,4777
61,775,6292,0,Porto Alegre,Assalariado,3998
59,522,3324,0,Rio de Janeiro,Desempregado,599
19,602,7216,0,Salvador,Autônomo,4886
20,847,8547,0,Salvador,Estudante,178
44,643,7724,0,Belo Horizonte,Autônomo,4211
47,665,6920,1,Porto Alegre,Assalariado,2119
50,325,3258,1,Fortaleza,Desempregado,1176
62,584,3892,0,Porto Alegre,Desempregado,442
49,485,3832,0,Porto Alegre,Autônomo,4476
31,707,5155,0,Fortaleza,Desempregado,758
37,825,9236,0,Rio de Janeiro,Assalariado,3828
31,816,7862,0,São Paulo,Desempregado,-462
44,340,3832,0,Rio de Janeiro,Empresário,9313
19,715,6010,0,Belo Horizonte,Autônomo,5658
68,541,4257,1,Belo Horizonte,Assalariado,3019
57,546,5569,1,Fortaleza,Desempregado,-108
31,555,6046,0,Rio de Janeiro,Desempregado,1342
26,625,6139,0,São Paulo,Autônomo,4623
34,405,4739,1,Porto Alegre,Estudante,1501
45,664,7194,1,Fortaleza,Desempregado,-366
36,818,8866,0,Porto Alegre,Empresário,10585
40,622,7295,1,Porto Alegre,Estudante,1918
21,382,4898,1,Belo Horizonte,Desempregado,313
26,548,7473,0,Porto Alegre,Desempregado,1277
35,691,5590,0,Porto Alegre,Desempregado,876
38,352,2610,0,Porto Alegre,Autônomo,5560
56,378,3214,0,Belo Horizonte,Estudante,1267
43,847,7377,0,Rio de Janeiro,Estudante,1098
23,583,5553,0,São Paulo,Empresário,9222
18,842,6560,0,Porto Alegre,Empresário,10465
62,446,2892,0,Salvador,Assalariado,3686
48,758,8898,0,Salvador,Autônomo,5029
23,668,5303,0,Belo Horizonte,Estudante,1079
46,354,2279,1,Belo Horizonte,Assalariado,2771
35,565,4309,0,Rio de Janeiro,Desempregado,1289
32,736,6502,0,São Paulo,Estudante,1023
34,587,4161,0,Salvador,Empresário,9251
27,754,9324,0,Salvador,Desempregado,335
66,568,4465,1,Belo Horizonte,Estudante,1812
40,410,5626,0,Salvador,Estudante,1252
37,683,6017,0,Rio de Janeiro,Autônomo,4709
63,340,5308,1,Salvador,Estudante,892
37,316,4667,0,Belo Horizonte,Estudante,311
33,472,6403,0,Salvador,Desempregado,-97
20,340,2958,0,Salvador,Assalariado,2844
55,429,4880,0,Salvador,Desempregado,-147
50,557,6150,0,São Paulo,Estudante,274
36,454,2629,0,Salvador,Estudante,1957
23,706,7949,0,Belo Horizonte,Empresário,10950
40,408,5090,1,Fortaleza,Empresário,10812
34,550,6993,0,Belo Horizonte,Desempregado,1062
49,786,6371,0,Belo Horizonte,Estudante,455
29,527,4482,0,São Paulo,Assalariado,3784
55,839,10188,0,São Paulo,Desempregado,-326
23,585,5457,1,São Paulo,Estudante,463
60,707,6633,0,Fortaleza,Desempregado,103
49,468,3103,0,Porto Alegre,Autônomo,4839
30,474,4036,1,Belo Horizonte,Empresário,9562
63,529,5947,0,Belo Horizonte,Assalariado,3014
62,697,7312,0,Rio de Janeiro,Empresário,9012
29,570,7284,0,Porto Alegre,Estudante,1150
27,435,5369,1,São Paulo,Assalariado,3435
63,848,8979,0,São Paulo,Estudante,1415
41,372,2424,1,Porto Alegre,Desempregado,1430
28,621,5913,0,Fortaleza,Empresário,10880
65,309,1096,0,São Paulo,Assalariado,3569
68,431,4113,1,Salvador,Empresário,10876
41,429,3836,0,São Paulo,Estudante,1471
19,586,6059,0,Porto Alegre,Estudante,1720
26,613,7967,0,São Paulo,Empresário,9325
35,522,4216,0,Rio de Janeiro,Estudante,763
23,673,4947,0,São Paulo,Desempregado,1246
23,504,6804,1,Porto Alegre,Desempregado,-469
66,421,5241,1,Porto Alegre,Assalariado,2652
23,833,8402,0,Salvador,Assalariado,2077
43,686,5223,0,Porto Alegre,Empresário,10837
27,843,7867,0,Belo Horizonte,Estudante,105
29,389,2169,1,São Paulo,Desempregado,-395
32,339,1862,0,Salvador,Desempregado,617
54,533,4392,1,São Paulo,Desempregado,-342
25,607,5489,1,Belo Horizonte,Estudante,1579
49,625,5944,0,Fortaleza,Desempregado,788
48,572,7167,0,Rio de Janeiro,Autônomo,5083
26,659,4679,0,São Paulo,Estudante,301
49,621,6794,0,Rio de Janeiro,Estudante,1949
53,512,5748,0,Salvador,Desempregado,-272
67,839,7797,0,Salvador,Autônomo,4718
63,795,9642,1,Fortaleza,Assalariado,3583
29,751,6501,1,Fortaleza,Assalariado,3034
52,549,4742,0,Belo Horizonte,Assalariado,2593
39,397,4823,1,Fortaleza,Assalariado,3755
68,385,2858,0,São Paulo,Empresário,10549
19,397,3868,1,Belo Horizonte,Autônomo,4306
65,606,7270,0,Rio de Janeiro,Estudante,1586
19,675,4855,0,Rio de Janeiro,Desempregado,1454
29,345,3850,0,Porto Alegre,Autônomo,5443
20,676,6125,1,Salvador,Desempregado,-384
30,413,4795,1,Fortaleza,Desempregado,1311
29,563,7077,1,Rio de Janeiro,Empresário,10295
21,650,7545,0,Fortaleza,Empresário,10912
36,408,2207,1,Rio de Janeiro,Autônomo,4480
33,616,5172,0,Belo Horizonte,Estudante,22
67,405,5578,1,Belo Horizonte,Estudante,1400
61,483,6009,0,Porto Alegre,Empresário,9542
25,572,7573,0,Salvador,Assalariado,2124
25,747,9122,0,Fortaleza,Desempregado,677
22,463,5769,0,Belo Horizonte,Assalariado,3322
45,584,6606,0,Porto Alegre,Empresário,9701
46,652,5561,1,São Paulo,Assalariado,3911
51,725,5683,0,Porto Alegre,Estudante,1055
24,697,5404,0,Porto Alegre,Desempregado,528
58,740,5939,0,Salvador,Autônomo,4785
45,839,9639,0,Porto Alegre,Estudante,858
24,324,2439,1,São Paulo,Empresário,10093
33,531,5990,1,Salvador,Assalariado,2178
21,657,7603,0,Fortaleza,Estudante,188
62,812,7763,0,Porto Alegre,Autônomo,5405
29,334,3384,1,Belo Horizonte,Empresário,9840
24,840,10008,0,Porto Alegre,Assalariado,3320
56,377,3950,0,Belo Horizonte,Desempregado,1229
49,758,7912,0,Salvador,Desempregado,-33
54,702,6947,0,Fortaleza,Desempregado,792
46,548,6805,1,Porto Alegre,Estudante,1819
42,482,4512,0,Salvador,Assalariado,2631
33,591,6952,1,Belo Horizonte,Estudante,1608
23,517,6265,0,Fortaleza,Desempregado,-151
65,614,7940,0,Salvador,Empresário,10032
31,543,6740,1,Porto Alegre,Assalariado,2981
67,784,9170,0,Belo Horizonte,Empresário,9607
19,684,8782,0,Porto Alegre,Assalariado,2196
57,358,5364,1,Salvador,Assalariado,3033
48,780,9145,0,São Paulo,Assalariado,3831
52,469,3965,0,Rio de Janeiro,Autônomo,4394
20,501,5795,1,Belo Horizonte,Empresário,10700
58,348,4543,0,Porto Alegre,Desempregado,329
56,701,6535,0,Belo Horizonte,Estudante,850
54,547,5444,0,Rio de Janeiro,Estudante,70
37,395,3580,0,Porto Alegre,Empresário,10981
52,577,3990,1,Belo Horizonte,Autônomo,5209
25,411,5831,0,Salvador,Estudante,67
24,314,4131,1,Belo Horizonte,Autônomo,5988
41,612,6906,0,Porto Alegre,Estudante,1516
18,607,5867,0,Salvador,Empresário,9512
56,765,5650,1,Porto Alegre,Estudante,64
60,535,6227,0,Rio de Janeiro,Desempregado,888
51,619,7151,0,Rio de Janeiro,Estudante,1949
40,657,8165,0,Porto Alegre,Assalariado,2573
36,444,2629,1,São Paulo,Desempregado,540
27,327,3932,0,Belo Horizonte,Autônomo,4086
62,716,7031,0,Rio de Janeiro,Assalariado,3326
47,330,5213,1,São Paulo,Autônomo,5604
34,608,6609,0,São Paulo,Assalariado,2602
64,354,4325,1,Porto Alegre,Autônomo,4429
27,393,2722,1,Fortaleza,Assalariado,3096
28,701,8227,0,Rio de Janeiro,Estudante,300
68,839,8365,0,Rio de Janeiro,Desempregado,557
37,362,2087,1,Fortaleza,Empresário,10573
43,492,4971,0,Rio de Janeiro,Autônomo,5148
37,408,3265,1,Rio de Janeiro,Autônomo,4649
63,668,8221,0,São Paulo,Desempregado,1284
18,714,6258,0,Belo Horizonte,Autônomo,4229
58,359,1866,0,Porto Alegre,Empresário,9867
30,615,8029,0,Belo Horizonte,Estudante,1012
41,812,7270,0,Salvador,Desempregado,737
59,521,3961,1,Belo Horizonte,Desempregado,405
49,622,7524,0,Belo Horizonte,Autônomo,5588
37,682,8139,0,Porto Alegre,Desempregado,777
52,785,7091,0,Rio de Janeiro,Empresário,9724
26,386,3664,1,Fortaleza,Assalariado,3421
57,514,3192,0,Fortaleza,Autônomo,4480
59,556,7461,0,Salvador,Empresário,10650
22,313,4497,0,Salvador,Estudante,668
53,508,6030,1,Rio de Janeiro,Estudante,241
26,381,4283,0,Rio de Janeiro,Desempregado,-293
33,719,7146,0,Belo Horizonte,Desempregado,-262
18,548,4279,0,São Paulo,Desempregado,-206
68,654,6365,1,Belo Horizonte,Empresário,9471
46,656,6875,1,Rio de Janeiro,Desempregado,498
31,822,7305,0,Belo Horizonte,Estudante,800
24,747,7139,0,Belo Horizonte,Autônomo,5053
45,787,9622,0,Belo Horizonte,Autônomo,5571
29,385,4181,1,Fortaleza,Empresário,10137
27,478,3202,0,Porto Alegre,Estudante,1243
27,600,6004,0,Belo Horizonte,Empresário,9623
59,334,3878,0,Rio de Janeiro,Empresário,9768
55,442,6064,0,Salvador,Assalariado,3991
45,755,8667,0,São Paulo,Assalariado,3060
52,587,7521,0,Belo Horizonte,Estudante,1693
33,539,5355,0,Salvador,Desempregado,-215
62,660,7943,1,Salvador,Autônomo,4107
29,584,4321,0,Porto Alegre,Assalariado,2016
53,728,6432,0,Belo Horizonte,Empresário,9686
49,406,3254,0,Rio de Janeiro,Empresário,10619
28,408,3847,0,Belo Horizonte,Desempregado,611
47,558,6430,0,Salvador,Desempregado,1452
59,601,8006,1,Porto Alegre,Assalariado,2755
55,497,3734,0,Porto Alegre,Autônomo,5319
20,507,6071,0,Porto Alegre,Desempregado,-445
40,505,5135,1,Belo Horizonte,Assalariado,3655
18,413,4196,1,Belo Horizonte,Autônomo,5615
65,714,8289,0,Porto Alegre,Empresário,10876
29,385,5168,0,Porto Alegre,Estudante,17
36,812,9625,0,Salvador,Assalariado,3739
30,832,7989,0,São Paulo,Assalariado,3444
29,487,5881,1,São Paulo,Estudante,1003
57,675,5222,0,Belo Horizonte,Desempregado,345
62,331,2354,0,Belo Horizonte,Estudante,331
58,635,7222,0,Fortaleza,Estudante,756
27,715,6016,0,Porto Alegre,Autônomo,4397
65,528,4370,1,Salvador,Estudante,525
46,429,5187,1,Salvador,Autônomo,5743
55,559,6615,0,Rio de Janeiro,Assalariado,3896
46,835,7999,0,Rio de Janeiro,Assalariado,3519
