Subscription Date,Churn Date,Customer Segment,Churn Reason,Subscription Duration (days),Acquisition Channel,Call Minutes (monthly),Data Usage (MB monthly),Location
2023-03-18,2023-09-07,pós-pago,Mudança para concorrente,173.0,Busca Online,588,2951,IL
2023-03-05,,pré-pago,,,Referência,39,2558,TX
2023-04-14,2023-12-02,pré-pago,Preço,232.0,Busca Online,670,4744,TX
2023-03-30,2023-04-02,pós-pago,Qualidade do Serviço,3.0,Redes Sociais,253,4576,WA
2023-02-28,,pós-pago,,,Referência,882,3438,WA
2023-03-14,,pré-pago,,,Redes Sociais,840,4278,NY
2023-04-12,2024-03-08,pré-pago,Mudança para concorrente,331.0,Busca Online,798,4418,WA
2023-02-05,,pré-pago,,,Busca Online,447,621,IL
2023-06-13,2024-03-11,pós-pago,Qualidade do Serviço,272.0,Redes Sociais,793,934,CA
2023-03-19,,pré-pago,,,Redes Sociais,511,4999,FL
2023-07-01,,pós-pago,,,Busca Online,103,4494,CA
2023-07-11,,pós-pago,,,Redes Sociais,350,102,TX
2023-08-27,,pré-pago,,,Publicidade Tradicional,488,2175,FL
2022-11-27,2023-10-28,pré-pago,Qualidade do Serviço,335.0,Publicidade Tradicional,86,3826,TX
2022-10-07,,pós-pago,,,Referência,981,835,WA
2023-03-17,,pré-pago,,,Busca Online,772,4051,NY
2022-09-16,,pré-pago,,,Publicidade Tradicional,962,2501,CA
2023-04-24,2023-10-03,pré-pago,Qualidade do Serviço,162.0,Busca Online,47,4847,FL
2023-01-15,2023-08-01,pré-pago,Atendimento ao Cliente,198.0,Busca Online,119,1416,CA
2023-03-09,,pós-pago,,,Referência,99,4167,TX
2023-07-16,,pós-pago,,,Busca Online,236,3043,IL
2023-05-18,,pré-pago,,,Publicidade Tradicional,845,3830,NY
2023-03-30,,pré-pago,,,Redes Sociais,622,3568,FL
2023-04-04,2023-10-05,pós-pago,,184.0,Publicidade Tradicional,158,3383,IL
2023-01-26,,pré-pago,,,Redes Sociais,654,4072,TX
2022-09-21,2023-05-01,pós-pago,Preço,222.0,Publicidade Tradicional,754,1468,FL
2022-09-22,2023-09-15,pré-pago,Atendimento ao Cliente,358.0,Redes Sociais,193,1949,WA
2023-07-15,,pós-pago,,,Publicidade Tradicional,746,4801,TX
2022-12-06,,pós-pago,,,Referência,976,1939,CA
2023-03-05,,pré-pago,,,Busca Online,67,4972,FL
2023-04-27,2023-08-08,pós-pago,Qualidade do Serviço,103.0,Referência,926,2435,TX
2023-04-01,,pré-pago,,,Busca Online,351,2464,WA
2023-01-25,,pós-pago,,,Publicidade Tradicional,852,3284,FL
2023-08-31,2024-08-29,pós-pago,Preço,364.0,Busca Online,566,2451,NY
2023-05-22,,pré-pago,,,Busca Online,744,2918,FL
2023-02-11,,pré-pago,,,Redes Sociais,894,1818,WA
2022-10-18,2023-04-15,pós-pago,Atendimento ao Cliente,179.0,Busca Online,535,127,CA
2022-10-11,,pós-pago,,,Referência,698,3709,IL
2023-05-09,,pré-pago,,,Busca Online,476,1723,WA
2023-03-13,,pré-pago,,,Publicidade Tradicional,740,4461,NY
2023-05-06,2024-02-05,pré-pago,Atendimento ao Cliente,275.0,Redes Sociais,82,1864,IL
2022-12-24,,pós-pago,,,Referência,474,3933,IL
2023-04-27,,pré-pago,,,Busca Online,579,1208,CA
2023-07-26,,pré-pago,,,Publicidade Tradicional,514,3137,FL
2022-12-30,,pós-pago,,,Referência,281,3468,WA
2022-10-11,,pós-pago,,,Publicidade Tradicional,970,236,NY
2022-09-11,,pré-pago,,,Referência,142,4658,FL
2023-08-15,2023-10-30,pré-pago,Qualidade do Serviço,76.0,Redes Sociais,43,748,CA
2022-09-01,,pré-pago,,,Publicidade Tradicional,213,4751,FL
2023-02-02,,pré-pago,,,Referência,790,2401,IL
2023-05-31,,pós-pago,,,Publicidade Tradicional,36,2749,WA
2023-03-16,,pós-pago,,,Publicidade Tradicional,473,4850,WA
2022-12-18,,pós-pago,,,Publicidade Tradicional,714,1586,IL
2023-04-15,,pré-pago,,,Redes Sociais,750,1797,IL
2022-09-08,,pré-pago,,,Redes Sociais,386,4058,NY
2023-02-14,,pré-pago,,,Publicidade Tradicional,982,4080,NY
2023-05-05,,pós-pago,,,Redes Sociais,333,544,CA
2023-01-08,,pós-pago,,,Busca Online,40,2328,CA
2023-08-28,,pré-pago,,,Referência,241,2153,TX
2022-11-15,2023-09-20,pré-pago,Mudança para concorrente,309.0,Publicidade Tradicional,616,4111,NY
2023-04-04,,pós-pago,,,Redes Sociais,438,3999,IL
2023-03-14,,pós-pago,,,Redes Sociais,604,3219,WA
2023-03-03,,pós-pago,,,Redes Sociais,343,3913,WA
2023-01-14,,pré-pago,,,Busca Online,748,2659,FL
2022-11-13,2023-08-22,pré-pago,,282.0,Publicidade Tradicional,42,3930,WA
2022-09-11,,pós-pago,,,Publicidade Tradicional,623,613,WA
2023-02-05,,pós-pago,,,Busca Online,310,3866,WA
2023-08-16,,pós-pago,,,Publicidade Tradicional,968,2711,WA
2023-07-21,2023-08-11,pré-pago,Mudança para concorrente,21.0,Publicidade Tradicional,259,558,WA
2023-07-18,,pós-pago,,,Redes Sociais,950,1509,WA
2022-09-19,,pré-pago,,,Redes Sociais,966,2777,CA
2023-01-10,,pré-pago,,,Redes Sociais,90,4060,TX
2023-02-03,2023-03-09,pós-pago,Mudança para concorrente,34.0,Busca Online,744,234,WA
2023-02-01,,pós-pago,,,Publicidade Tradicional,713,1781,FL
2023-08-18,,pós-pago,,,Publicidade Tradicional,616,1054,TX
2023-07-22,2023-07-31,pré-pago,Preço,9.0,Redes Sociais,356,2799,FL
2023-01-15,,pré-pago,,,Referência,554,2399,WA
2023-02-01,,pré-pago,,,Busca Online,526,4190,TX
2023-04-09,,pós-pago,,,Referência,877,2720,TX
2023-02-24,2023-06-02,pós-pago,Atendimento ao Cliente,98.0,Redes Sociais,556,960,TX
2022-12-30,,pós-pago,,,Busca Online,336,2992,IL
2023-05-04,,pré-pago,,,Publicidade Tradicional,679,976,FL
2023-06-17,,pós-pago,,,Publicidade Tradicional,156,4264,CA
2023-02-01,,pós-pago,,,Publicidade Tradicional,93,1349,CA
2022-12-08,,pós-pago,,,Referência,263,237,WA
2023-03-30,,pré-pago,,,Busca Online,412,106,WA
2023-07-11,,pós-pago,,,Referência,62,1909,TX
2023-05-10,,pós-pago,,,Publicidade Tradicional,760,2317,NY
2023-04-25,,pós-pago,,,Referência,346,2466,IL
2022-09-24,,pré-pago,,,Referência,407,1032,TX
2022-11-25,2023-04-07,pós-pago,Mudança para concorrente,133.0,Busca Online,476,2764,IL
2023-08-14,,pós-pago,,,Redes Sociais,351,555,TX
2023-07-08,2023-12-14,pré-pago,Preço,159.0,Referência,57,1087,WA
2023-06-03,,pós-pago,,,Referência,869,2785,WA
2023-02-14,2023-03-29,pós-pago,,43.0,Referência,538,4172,FL
2023-02-09,2024-01-31,pós-pago,Preço,356.0,Publicidade Tradicional,495,1266,NY
2022-11-23,2023-08-16,pré-pago,Qualidade do Serviço,266.0,Publicidade Tradicional,354,4947,NY
2023-08-04,,pós-pago,,,Redes Sociais,459,211,WA
2023-05-26,,pós-pago,,,Referência,586,1704,CA
2023-03-09,,pré-pago,,,Publicidade Tradicional,748,1565,WA
2023-04-24,,pós-pago,,,Publicidade Tradicional,211,4899,CA
2023-05-27,,pré-pago,,,Referência,750,3185,TX
2023-04-16,,pós-pago,,,Publicidade Tradicional,120,1890,CA
2023-06-25,,pré-pago,,,Busca Online,259,1904,CA
2023-01-04,,pré-pago,,,Referência,93,3389,WA
2023-03-31,,pós-pago,,,Referência,637,3786,WA
2023-05-26,,pré-pago,,,Redes Sociais,315,4226,IL
2022-12-07,,pré-pago,,,Busca Online,672,1776,FL
2023-01-06,,pós-pago,,,Busca Online,547,3790,FL
2023-04-04,,pré-pago,,,Publicidade Tradicional,169,4273,FL
2022-10-25,,pré-pago,,,Publicidade Tradicional,187,516,TX
2023-02-07,2024-01-04,pré-pago,Atendimento ao Cliente,331.0,Redes Sociais,187,3405,CA
2022-09-06,,pré-pago,,,Referência,895,4621,TX
2023-01-10,2023-09-23,pós-pago,Mudança para concorrente,256.0,Publicidade Tradicional,387,3463,IL
2023-06-12,2024-04-12,pós-pago,,305.0,Redes Sociais,518,1476,TX
2023-05-15,,pós-pago,,,Publicidade Tradicional,389,963,FL
2022-09-22,,pré-pago,,,Redes Sociais,697,1068,TX
2023-08-08,,pós-pago,,,Referência,138,763,IL
2022-10-10,,pós-pago,,,Referência,588,2196,NY
2023-02-22,2023-10-27,pré-pago,Preço,247.0,Redes Sociais,752,3756,FL
2023-01-03,,pós-pago,,,Referência,536,3786,TX
2023-04-09,2024-01-03,pré-pago,Qualidade do Serviço,269.0,Referência,799,4326,WA
2023-08-03,,pós-pago,,,Publicidade Tradicional,813,1955,CA
2022-09-20,,pós-pago,,,Publicidade Tradicional,933,3935,TX
2023-01-26,,pós-pago,,,Referência,615,4812,FL
2023-01-06,,pós-pago,,,Redes Sociais,481,171,WA
2022-12-26,,pré-pago,,,Referência,987,3938,CA
2022-10-26,,pré-pago,,,Redes Sociais,825,2647,NY
2022-09-30,,pré-pago,,,Busca Online,142,3528,CA
2022-11-19,,pós-pago,,,Busca Online,904,2351,IL
2022-12-13,,pós-pago,,,Referência,550,4081,FL
2022-10-16,,pós-pago,,,Publicidade Tradicional,874,3845,FL
2023-01-03,,pós-pago,,,Referência,972,4724,FL
2023-01-19,,pós-pago,,,Referência,448,2458,CA
2023-06-17,,pré-pago,,,Referência,197,851,FL
2023-02-08,,pós-pago,,,Busca Online,468,3847,FL
2023-07-14,2024-02-02,pré-pago,,203.0,Busca Online,654,1883,NY
2022-09-08,,pré-pago,,,Referência,771,4356,CA
2022-12-19,,pré-pago,,,Redes Sociais,501,2915,IL
2023-05-23,,pós-pago,,,Publicidade Tradicional,554,2668,WA
2023-05-05,2024-03-22,pós-pago,Preço,322.0,Redes Sociais,961,1170,CA
2023-02-23,,pré-pago,,,Publicidade Tradicional,898,1882,NY
2023-02-10,,pós-pago,,,Referência,501,2770,WA
2022-11-16,,pós-pago,,,Busca Online,142,3633,CA
2022-10-13,2023-06-16,pós-pago,,246.0,Referência,345,2360,WA
2023-07-30,,pós-pago,,,Publicidade Tradicional,707,350,TX
2023-03-21,,pós-pago,,,Referência,795,1019,NY
2022-10-19,,pré-pago,,,Busca Online,929,884,IL
2022-09-05,,pré-pago,,,Referência,410,3870,WA
2023-01-27,,pós-pago,,,Publicidade Tradicional,953,3275,TX
2023-06-19,,pré-pago,,,Busca Online,628,2897,TX
2023-01-13,,pós-pago,,,Busca Online,258,4132,FL
2023-05-14,,pré-pago,,,Publicidade Tradicional,319,3584,CA
2023-05-03,,pré-pago,,,Busca Online,246,602,NY
2023-05-10,,pré-pago,,,Referência,295,3372,NY
2023-06-15,2024-05-22,pré-pago,Qualidade do Serviço,342.0,Busca Online,774,2567,CA
2023-04-23,2024-02-06,pré-pago,Qualidade do Serviço,289.0,Publicidade Tradicional,465,1892,WA
2022-11-15,,pré-pago,,,Referência,706,4664,NY
2023-03-15,2023-07-23,pré-pago,Preço,130.0,Referência,735,4892,CA
2022-12-17,,pós-pago,,,Redes Sociais,618,1385,TX
2023-05-08,,pré-pago,,,Busca Online,382,3374,CA
2022-09-18,,pré-pago,,,Publicidade Tradicional,769,424,NY
2023-06-18,,pós-pago,,,Publicidade Tradicional,45,319,TX
2023-02-02,,pós-pago,,,Publicidade Tradicional,555,1202,CA
2023-02-18,,pré-pago,,,Busca Online,429,2107,CA
2023-04-14,2023-11-04,pós-pago,,204.0,Busca Online,983,3239,TX
2022-12-30,,pré-pago,,,Publicidade Tradicional,615,2449,IL
2023-07-12,,pré-pago,,,Referência,563,3902,FL
2022-09-30,,pós-pago,,,Publicidade Tradicional,741,1849,CA
2023-07-06,2023-10-29,pré-pago,Preço,115.0,Referência,97,3797,CA
2023-03-03,2023-03-14,pós-pago,Atendimento ao Cliente,11.0,Referência,946,4791,CA
2023-06-16,,pré-pago,,,Referência,430,706,TX
2023-01-20,,pós-pago,,,Redes Sociais,971,411,CA
2023-01-14,,pré-pago,,,Redes Sociais,921,3714,IL
2023-06-07,,pós-pago,,,Busca Online,507,3175,IL
2023-05-30,,pós-pago,,,Referência,925,804,FL
2022-12-06,,pós-pago,,,Publicidade Tradicional,439,4349,CA
2022-09-07,,pré-pago,,,Redes Sociais,766,3247,NY
2023-05-13,,pré-pago,,,Publicidade Tradicional,139,2048,NY
2023-03-25,2024-01-19,pré-pago,Preço,300.0,Redes Sociais,605,1488,WA
2023-02-06,,pós-pago,,,Redes Sociais,529,1721,IL
2023-05-09,,pré-pago,,,Referência,689,517,WA
2023-05-25,,pré-pago,,,Referência,694,4582,FL
2023-06-01,2024-02-09,pós-pago,Qualidade do Serviço,253.0,Referência,648,238,IL
2023-05-31,,pré-pago,,,Redes Sociais,491,2589,TX
2023-04-03,2023-11-29,pós-pago,Atendimento ao Cliente,240.0,Redes Sociais,496,3432,IL
2023-03-31,,pós-pago,,,Publicidade Tradicional,923,2936,TX
2022-10-30,,pós-pago,,,Redes Sociais,131,1587,TX
2022-11-15,,pré-pago,,,Publicidade Tradicional,880,2968,NY
2023-05-30,,pré-pago,,,Publicidade Tradicional,182,4633,WA
2023-05-19,,pré-pago,,,Referência,620,968,WA
2023-06-30,,pós-pago,,,Redes Sociais,74,2798,CA
2023-03-31,,pré-pago,,,Publicidade Tradicional,883,3274,IL
2022-11-27,,pós-pago,,,Publicidade Tradicional,360,222,TX
2023-02-28,,pós-pago,,,Redes Sociais,230,2136,TX
2023-08-01,,pós-pago,,,Referência,121,2220,TX
2022-11-04,2023-05-07,pós-pago,Qualidade do Serviço,184.0,Busca Online,685,1553,IL
2023-08-30,,pré-pago,,,Busca Online,883,2933,CA
2022-11-10,,pré-pago,,,Busca Online,424,4887,WA
2023-04-03,,pré-pago,,,Busca Online,553,198,WA
2023-06-05,,pós-pago,,,Referência,635,2197,IL
2023-03-05,,pós-pago,,,Referência,659,800,CA
2023-08-07,,pré-pago,,,Referência,63,4662,CA
2023-03-13,,pré-pago,,,Redes Sociais,594,4584,IL
2022-10-02,,pós-pago,,,Busca Online,660,4676,NY
2023-05-27,,pré-pago,,,Redes Sociais,46,1827,NY
2023-08-13,,pré-pago,,,Publicidade Tradicional,676,1494,FL
2023-02-25,,pós-pago,,,Busca Online,452,242,WA
2023-04-17,,pós-pago,,,Redes Sociais,234,4156,TX
2023-02-05,2023-06-13,pré-pago,,128.0,Redes Sociais,800,2260,FL
2023-06-26,2023-09-20,pré-pago,Qualidade do Serviço,86.0,Redes Sociais,800,3374,IL
2023-05-21,,pré-pago,,,Redes Sociais,896,270,IL
2023-01-31,,pré-pago,,,Redes Sociais,581,3328,IL
2023-08-18,,pré-pago,,,Referência,360,2959,IL
2022-09-20,,pós-pago,,,Publicidade Tradicional,32,3902,IL
2023-04-26,,pré-pago,,,Publicidade Tradicional,507,2815,FL
2023-03-06,2023-06-13,pós-pago,Atendimento ao Cliente,99.0,Publicidade Tradicional,352,1128,NY
2023-07-10,,pré-pago,,,Publicidade Tradicional,353,3248,FL
2023-05-22,,pós-pago,,,Redes Sociais,764,964,NY
2022-09-29,,pré-pago,,,Redes Sociais,377,4033,CA
2023-07-19,2024-05-29,pré-pago,,315.0,Busca Online,557,4984,FL
2023-07-04,2024-01-09,pré-pago,Atendimento ao Cliente,189.0,Referência,508,1479,IL
2022-12-21,,pós-pago,,,Redes Sociais,737,2338,WA
2023-02-27,,pós-pago,,,Redes Sociais,973,4738,WA
2023-06-23,,pós-pago,,,Referência,359,4046,FL
2022-12-11,,pré-pago,,,Publicidade Tradicional,433,4517,FL
2022-12-12,,pós-pago,,,Publicidade Tradicional,883,361,IL
2023-01-26,,pré-pago,,,Publicidade Tradicional,357,3287,NY
2022-12-20,2022-12-24,pré-pago,Mudança para concorrente,4.0,Redes Sociais,972,1557,FL
2023-08-24,,pré-pago,,,Redes Sociais,136,1370,WA
2022-11-15,,pré-pago,,,Publicidade Tradicional,243,1021,NY
2023-03-26,2024-02-14,pós-pago,Mudança para concorrente,325.0,Busca Online,441,609,WA
2023-06-19,2024-04-20,pré-pago,Preço,306.0,Busca Online,287,4999,IL
2023-04-08,,pré-pago,,,Redes Sociais,574,4125,WA
2023-02-07,2024-01-28,pré-pago,Mudança para concorrente,355.0,Redes Sociais,245,1431,NY
2023-03-31,,pós-pago,,,Busca Online,346,4231,IL
2023-02-21,,pós-pago,,,Busca Online,605,1334,CA
2022-12-11,,pós-pago,,,Referência,731,2632,IL
2022-09-25,2023-07-28,pós-pago,,306.0,Busca Online,86,2883,CA
2023-05-11,2023-09-06,pós-pago,,118.0,Referência,196,2365,FL
2022-09-21,2023-03-28,pós-pago,Atendimento ao Cliente,188.0,Redes Sociais,302,3860,TX
2023-07-28,2024-04-11,pós-pago,Mudança para concorrente,258.0,Publicidade Tradicional,338,4275,NY
2023-04-02,,pós-pago,,,Redes Sociais,275,1657,CA
2023-01-22,,pós-pago,,,Publicidade Tradicional,262,3605,TX
2023-05-08,2023-10-05,pré-pago,,150.0,Busca Online,550,1441,IL
2023-05-09,,pré-pago,,,Busca Online,468,4674,WA
2022-10-22,,pré-pago,,,Redes Sociais,265,1105,IL
2023-04-17,,pós-pago,,,Referência,340,1415,FL
2023-04-23,,pós-pago,,,Referência,21,1363,FL
2023-05-23,,pré-pago,,,Busca Online,706,4029,IL
2023-01-15,,pós-pago,,,Referência,631,2103,CA
2022-09-29,,pós-pago,,,Redes Sociais,620,4273,NY
2023-05-04,2023-11-04,pré-pago,Qualidade do Serviço,184.0,Busca Online,239,378,WA
2023-01-04,,pré-pago,,,Busca Online,603,4474,IL
2022-11-13,,pós-pago,,,Referência,769,1048,TX
2022-12-28,,pós-pago,,,Redes Sociais,121,2848,WA
2022-10-14,2022-11-21,pré-pago,,38.0,Referência,857,716,WA
2023-01-14,,pré-pago,,,Publicidade Tradicional,954,2428,WA
2023-06-16,2023-07-29,pós-pago,,43.0,Publicidade Tradicional,456,1311,IL
2023-08-26,,pré-pago,,,Publicidade Tradicional,181,4211,WA
2023-08-20,,pós-pago,,,Busca Online,456,1975,NY
2023-02-26,2023-09-15,pós-pago,Atendimento ao Cliente,201.0,Publicidade Tradicional,632,4991,IL
2023-08-24,,pós-pago,,,Publicidade Tradicional,422,2550,IL
2023-07-16,,pré-pago,,,Busca Online,665,2251,NY
2023-05-02,,pós-pago,,,Redes Sociais,487,1209,NY
2023-06-21,,pré-pago,,,Referência,735,3680,TX
2022-10-26,,pós-pago,,,Publicidade Tradicional,666,3305,IL
2022-12-13,,pós-pago,,,Referência,351,4605,WA
2023-05-21,,pré-pago,,,Redes Sociais,30,3986,WA
2023-06-17,2023-11-24,pós-pago,Mudança para concorrente,160.0,Redes Sociais,927,2533,IL
2022-11-17,2023-10-21,pré-pago,Qualidade do Serviço,338.0,Referência,803,234,FL
2023-03-31,,pós-pago,,,Publicidade Tradicional,712,1426,TX
2023-04-27,,pós-pago,,,Busca Online,551,4441,NY
2023-08-09,,pré-pago,,,Referência,965,764,CA
2022-11-05,,pré-pago,,,Redes Sociais,433,3024,NY
2023-03-18,,pós-pago,,,Referência,761,3750,IL
2023-01-01,,pós-pago,,,Publicidade Tradicional,310,4529,WA
2023-01-26,,pré-pago,,,Publicidade Tradicional,17,4376,FL
2023-02-01,,pós-pago,,,Busca Online,598,4815,WA
2023-01-30,,pós-pago,,,Publicidade Tradicional,140,685,IL
2022-10-12,,pré-pago,,,Redes Sociais,794,3410,WA
2023-05-19,2023-10-26,pré-pago,Qualidade do Serviço,160.0,Publicidade Tradicional,163,2687,WA
2023-08-04,,pré-pago,,,Redes Sociais,825,4886,NY
2023-04-25,,pós-pago,,,Busca Online,143,3893,TX
2022-11-15,,pós-pago,,,Publicidade Tradicional,363,3877,TX
2023-02-15,,pré-pago,,,Redes Sociais,841,1425,WA
2022-12-24,,pré-pago,,,Busca Online,960,1505,IL
2023-07-10,2024-04-30,pré-pago,,295.0,Referência,394,2665,CA
2022-11-25,,pré-pago,,,Referência,707,1847,NY
2023-02-15,,pré-pago,,,Referência,488,3420,CA
2023-07-12,,pré-pago,,,Referência,389,4813,FL
2023-05-21,,pré-pago,,,Busca Online,257,4452,WA
2022-12-13,2023-10-11,pós-pago,,302.0,Busca Online,186,4143,TX
2023-02-15,,pós-pago,,,Busca Online,195,4098,WA
2022-11-22,2023-11-22,pós-pago,,365.0,Referência,745,3544,TX
2023-08-02,,pré-pago,,,Referência,844,1884,FL
2022-11-26,,pré-pago,,,Redes Sociais,748,1095,NY
2023-03-10,,pré-pago,,,Redes Sociais,777,1467,IL
2022-12-08,,pré-pago,,,Publicidade Tradicional,854,3699,FL
2022-11-27,,pré-pago,,,Busca Online,722,1065,WA
2022-12-22,,pré-pago,,,Referência,101,3990,TX
2022-11-11,,pré-pago,,,Busca Online,23,2123,FL
2023-07-11,,pós-pago,,,Redes Sociais,934,1752,CA
2022-09-05,,pré-pago,,,Redes Sociais,256,2407,TX
2023-06-11,,pré-pago,,,Redes Sociais,599,4329,WA
2023-04-24,,pós-pago,,,Redes Sociais,728,807,NY
2023-02-10,,pós-pago,,,Busca Online,383,3490,CA
2023-01-30,,pós-pago,,,Publicidade Tradicional,202,3283,TX
2023-01-06,,pós-pago,,,Referência,611,4876,NY
2023-04-06,,pré-pago,,,Redes Sociais,794,367,WA
2023-02-20,,pré-pago,,,Busca Online,772,991,NY
2023-05-08,,pós-pago,,,Referência,620,3389,WA
2023-08-18,,pós-pago,,,Redes Sociais,729,2358,FL
2023-01-27,2023-10-11,pré-pago,Preço,257.0,Publicidade Tradicional,947,2001,CA
2023-04-04,,pós-pago,,,Redes Sociais,816,4215,WA
2023-01-24,,pós-pago,,,Redes Sociais,834,319,CA
2023-07-25,,pós-pago,,,Busca Online,824,4268,FL
2023-03-01,2023-08-07,pré-pago,,159.0,Publicidade Tradicional,760,1924,TX
2023-02-15,,pós-pago,,,Redes Sociais,37,3968,NY
2022-11-20,,pós-pago,,,Publicidade Tradicional,876,161,NY
2023-08-04,,pré-pago,,,Redes Sociais,644,837,TX
2023-04-17,2023-06-29,pré-pago,Atendimento ao Cliente,73.0,Publicidade Tradicional,512,2126,IL
2023-02-20,,pré-pago,,,Redes Sociais,861,2464,WA
2023-08-01,2024-02-11,pós-pago,Preço,194.0,Publicidade Tradicional,335,3318,CA
2023-01-17,,pré-pago,,,Busca Online,393,2641,NY
2022-10-31,,pré-pago,,,Redes Sociais,915,4327,NY
2023-06-20,2024-05-29,pós-pago,Atendimento ao Cliente,344.0,Busca Online,378,2433,FL
2022-10-03,2023-08-23,pré-pago,Atendimento ao Cliente,324.0,Redes Sociais,369,3927,IL
2023-01-16,2023-12-20,pós-pago,Mudança para concorrente,338.0,Redes Sociais,370,3425,CA
2023-04-27,,pré-pago,,,Redes Sociais,560,393,TX
2022-10-12,2023-08-19,pré-pago,Qualidade do Serviço,311.0,Referência,316,1936,NY
2023-03-18,,pré-pago,,,Referência,477,4617,CA
2023-02-25,,pós-pago,,,Busca Online,646,2716,CA
2022-10-30,,pré-pago,,,Referência,313,4069,IL
2022-11-04,,pós-pago,,,Redes Sociais,800,2062,WA
2023-01-17,,pré-pago,,,Referência,503,2347,NY
2023-02-15,,pré-pago,,,Redes Sociais,437,3305,NY
2022-11-29,,pós-pago,,,Publicidade Tradicional,266,1310,IL
2022-10-29,2023-02-25,pré-pago,Mudança para concorrente,119.0,Redes Sociais,120,168,IL
2023-04-11,,pós-pago,,,Redes Sociais,323,1555,NY
2023-08-07,2024-05-21,pré-pago,Qualidade do Serviço,288.0,Publicidade Tradicional,429,1411,WA
2022-11-13,,pré-pago,,,Publicidade Tradicional,696,959,FL
2023-07-16,,pós-pago,,,Referência,530,3968,TX
2022-09-22,,pré-pago,,,Referência,594,1575,NY
2023-08-04,,pós-pago,,,Referência,189,1775,FL
2022-11-14,,pós-pago,,,Referência,73,3617,CA
2023-07-25,2024-02-22,pós-pago,Preço,212.0,Busca Online,997,4148,IL
2023-08-17,2024-06-11,pré-pago,Atendimento ao Cliente,299.0,Busca Online,624,3500,IL
2023-02-16,2023-06-17,pós-pago,Mudança para concorrente,121.0,Referência,160,3392,NY
2022-09-19,,pós-pago,,,Redes Sociais,925,3011,CA
2023-01-13,2023-06-03,pós-pago,Qualidade do Serviço,141.0,Publicidade Tradicional,93,4944,TX
2022-11-12,,pré-pago,,,Redes Sociais,790,1607,NY
2023-05-19,,pré-pago,,,Publicidade Tradicional,86,4907,IL
2023-03-17,,pós-pago,,,Referência,580,893,NY
2023-04-11,,pós-pago,,,Referência,315,3659,WA
2022-10-26,,pré-pago,,,Referência,573,4499,NY
2022-11-25,,pré-pago,,,Publicidade Tradicional,30,3751,FL
2022-12-23,,pré-pago,,,Redes Sociais,247,3253,IL
2023-06-26,,pós-pago,,,Busca Online,882,2841,WA
2022-09-04,2023-07-19,pré-pago,Preço,318.0,Busca Online,942,2482,TX
2023-08-01,,pré-pago,,,Busca Online,547,2352,FL
2022-11-27,,pré-pago,,,Referência,877,2856,CA
2022-10-03,,pré-pago,,,Referência,27,1520,IL
2022-12-07,,pós-pago,,,Referência,517,1626,NY
