ID_Venda,Data,ID_Loja,Localizacao,Canal,Categoria_Produto,Produto,Quantidade,Preco_Unitario,Desconto,ID_Cliente,Idade_Cliente,Genero_Cliente,Feedback
37,2022-01-18 15:22:02,037,Porto Alegre,Online,Tênis,Superstar,4,440,35,1036,53,Outro,Ótimo
38,2022-12-22 19:33:09,038,São Paulo,Online,Camisetas,Camiseta Clássica,1,210,44,1037,45,Feminino,Bom
39,2022-09-11 22:44:49,039,São Paulo,Loja Física,Camisetas,Camiseta Estampada,1,305,48,1038,64,Masculino,Bom
40,2022-04-02 03:38:27,040,São Paulo,Loja Física,Tênis,Superstar,2,274,13,1039,62,Outro,Bom
41,2022-06-09 04:17:46,041,Porto Alegre,Loja Física,Camisetas,Camiseta Clássica,2,78,20,1040,37,Masculino,Regular
42,2022-10-06 06:29:39,042,Rio de Janeiro,Loja Física,Calças,Calça Casual,2,277,23,1041,67,Masculino,Ótimo
43,2022-12-11 00:24:08,043,Belo Horizonte,Loja Física,Tênis,NMD,4,159,47,1042,30,Feminino,Ruim
44,2022-07-23 23:14:05,044,Belo Horizonte,Loja Física,Camisetas,Camiseta Clássica,1,536,48,1043,48,Masculino,Ruim
45,2022-05-17 14:32:55,045,São Paulo,Loja Física,Calças,Calça Treino,4,395,28,1044,47,Masculino,Bom
46,2022-06-21 14:02:42,046,Belo Horizonte,Online,Tênis,NMD,1,164,0,1045,65,Outro,Bom
47,2022-08-24 10:40:47,047,Porto Alegre,Loja Física,Camisetas,Camiseta Estampada,4,467,44,1046,41,Outro,Ótimo
48,2022-11-24 07:54:47,048,Belo Horizonte,Loja Física,Camisetas,Camiseta Clássica,4,149,10,1047,26,Feminino,Bom
49,2022-02-27 06:20:17,049,Rio de Janeiro,Online,Calças,Calça Casual,2,451,33,1048,33,Outro,Ruim
50,2022-08-05 08:08:54,050,Belo Horizonte,Loja Física,Tênis,NMD,3,60,7,1049,31,Outro,Bom
51,2022-02-22 17:57:51,051,Belo Horizonte,Online,Calças,Calça Casual,2,379,42,1050,41,Masculino,Ruim
52,2022-07-11 15:38:47,052,Porto Alegre,Loja Física,Tênis,NMD,3,277,5,1051,42,Outro,Regular
53,2022-10-26 20:05:43,053,São Paulo,Online,Tênis,Superstar,4,430,42,1052,36,Masculino,Ruim
54,2022-11-30 18:52:04,054,Rio de Janeiro,Loja Física,Tênis,Superstar,1,506,27,1053,43,Outro,Bom
55,2022-01-29 21:37:12,055,Belo Horizonte,Online,Camisetas,Camiseta Estampada,3,210,19,1054,62,Outro,Ruim
56,2022-08-27 13:22:16,056,Rio de Janeiro,Loja Física,Tênis,Ultraboost,4,581,30,1055,19,Feminino,Regular
57,2022-09-29 18:52:28,057,Rio de Janeiro,Online,Tênis,NMD,4,523,19,1056,56,Masculino,Ruim
58,2022-04-11 03:25:41,058,Belo Horizonte,Online,Calças,Calça Treino,1,106,33,1057,60,Feminino,Ótimo
59,2022-03-07 05:35:54,059,Belo Horizonte,Loja Física,Camisetas,Camiseta Estampada,1,323,2,1058,61,Masculino,Ruim
60,2022-09-28 05:56:07,060,São Paulo,Loja Física,Tênis,Ultraboost,3,568,37,1059,66,Outro,Ruim
61,2022-07-18 08:52:21,061,Porto Alegre,Online,Camisetas,Camiseta Clássica,1,103,1,1060,63,Feminino,Regular
62,2022-03-01 15:32:10,062,Belo Horizonte,Loja Física,Calças,Calça Casual,3,507,46,1061,69,Masculino,Bom
63,2022-06-01 06:20:40,063,Belo Horizonte,Online,Calças,Calça Casual,1,412,32,1062,49,Feminino,Regular
64,2022-05-23 08:39:29,064,Rio de Janeiro,Online,Calças,Calça Treino,2,466,1,1063,65,Masculino,Ruim
65,2022-09-02 23:04:27,065,São Paulo,Online,Calças,Calça Casual,4,234,13,1064,41,Masculino,Ótimo
66,2022-07-11 20:33:02,066,Rio de Janeiro,Online,Tênis,Superstar,3,96,6,1065,25,Masculino,Ruim
67,2022-12-11 19:46:49,067,Belo Horizonte,Online,Camisetas,Camiseta Clássica,3,89,23,1066,55,Masculino,Ótimo
68,2022-09-18 12:53:02,068,Rio de Janeiro,Loja Física,Calças,Calça Treino,1,328,23,1067,51,Feminino,Regular
69,2022-01-23 02:16:43,069,Belo Horizonte,Online,Calças,Calça Treino,4,296,26,1068,19,Masculino,Ótimo
70,2022-06-23 08:04:53,070,Rio de Janeiro,Online,Calças,Calça Casual,3,194,0,1069,27,Feminino,Ruim
71,2022-05-18 02:07:42,071,Porto Alegre,Online,Camisetas,Camiseta Clássica,4,131,34,1070,51,Masculino,Ruim
72,2022-02-25 23:50:48,072,Rio de Janeiro,Loja Física,Camisetas,Camiseta Estampada,3,504,29,1071,42,Feminino,Ruim
73,2022-04-16 22:10:20,073,Porto Alegre,Loja Física,Calças,Calça Casual,2,250,37,1072,36,Feminino,Ruim
74,2022-12-21 11:41:41,074,Belo Horizonte,Online,Camisetas,Camiseta Clássica,4,596,8,1073,45,Feminino,Ótimo
75,2022-12-20 02:44:38,075,Rio de Janeiro,Online,Tênis,Superstar,1,54,27,1074,56,Masculino,Regular
76,2022-10-05 06:16:46,076,São Paulo,Online,Tênis,Superstar,1,520,29,1075,47,Masculino,Bom
77,2022-12-12 13:20:11,077,Belo Horizonte,Loja Física,Calças,Calça Treino,2,89,20,1076,53,Outro,Ótimo
78,2022-12-24 09:21:47,078,Rio de Janeiro,Loja Física,Tênis,Ultraboost,1,367,15,1077,51,Outro,Ótimo
79,2022-09-06 19:37:51,079,Rio de Janeiro,Online,Calças,Calça Treino,4,187,29,1078,22,Outro,Bom
80,2022-09-11 00:00:05,080,Rio de Janeiro,Loja Física,Tênis,Ultraboost,4,569,33,1079,41,Feminino,Ótimo
81,2022-01-15 04:29:00,081,Belo Horizonte,Online,Calças,Calça Casual,1,370,47,1080,50,Feminino,Bom
82,2022-04-17 03:07:33,082,São Paulo,Online,Calças,Calça Treino,2,87,24,1081,48,Outro,Ruim
83,2022-06-30 22:21:51,083,Belo Horizonte,Online,Calças,Calça Casual,3,66,13,1082,55,Outro,Regular
84,2022-11-16 14:50:35,084,Porto Alegre,Loja Física,Tênis,Ultraboost,4,576,33,1083,59,Outro,Regular
85,2022-02-02 23:18:27,085,São Paulo,Loja Física,Camisetas,Camiseta Estampada,3,598,46,1084,32,Masculino,Ótimo
86,2022-11-16 20:42:54,086,Porto Alegre,Loja Física,Camisetas,Camiseta Estampada,3,536,14,1085,39,Masculino,Ótimo
87,2022-09-01 22:55:18,087,Rio de Janeiro,Online,Tênis,NMD,2,457,1,1086,55,Masculino,Ruim
88,2022-06-25 05:02:19,088,Rio de Janeiro,Online,Tênis,NMD,4,58,41,1087,44,Feminino,Ótimo
89,2022-08-22 21:37:22,089,Porto Alegre,Online,Tênis,NMD,4,266,42,1088,69,Masculino,Bom
90,2022-01-02 23:17:50,090,Belo Horizonte,Online,Calças,Calça Treino,2,407,47,1089,32,Outro,Ótimo
91,2022-05-07 02:09:12,091,São Paulo,Online,Tênis,Superstar,1,115,44,1090,25,Feminino,Regular
92,2022-02-05 16:31:35,092,São Paulo,Loja Física,Camisetas,Camiseta Clássica,4,230,23,1091,44,Outro,Ruim
93,2022-09-09 04:17:57,093,Porto Alegre,Loja Física,Camisetas,Camiseta Estampada,2,455,9,1092,34,Feminino,Regular
94,2022-08-14 15:38:56,094,Porto Alegre,Online,Tênis,Superstar,2,285,47,1093,21,Feminino,Bom
95,2022-05-27 18:28:43,095,Rio de Janeiro,Online,Tênis,Ultraboost,4,226,40,1094,38,Feminino,Ruim
96,2022-05-21 07:58:25,096,Rio de Janeiro,Online,Camisetas,Camiseta Clássica,1,164,16,1095,36,Outro,Regular
97,2022-08-21 09:57:19,097,Porto Alegre,Loja Física,Calças,Calça Casual,2,529,37,1096,61,Masculino,Ótimo
98,2022-10-07 06:31:19,098,Rio de Janeiro,Online,Calças,Calça Casual,1,121,48,1097,43,Feminino,Bom
99,2022-10-02 07:29:33,099,Rio de Janeiro,Loja Física,Camisetas,Camiseta Clássica,4,558,37,1098,53,Feminino,Ruim
100,2022-04-13 22:40:27,100,São Paulo,Loja Física,Camisetas,Camiseta Estampada,2,473,6,1099,65,Outro,Regular
101,2022-10-12 12:20:38,001,Belo Horizonte,Loja Física,Camisetas,Camiseta Clássica,4,222,23,1100,53,Feminino,Bom
102,2022-01-16 10:00:39,002,São Paulo,Online,Camisetas,Camiseta Clássica,4,105,35,1101,25,Masculino,Ruim
103,2022-12-19 13:25:08,003,São Paulo,Loja Física,Calças,Calça Casual,3,119,24,1102,55,Masculino,Regular
104,2022-04-28 15:28:29,004,São Paulo,Online,Tênis,NMD,4,126,48,1103,54,Masculino,Bom
105,2022-12-23 13:11:42,005,Porto Alegre,Loja Física,Calças,Calça Treino,1,165,23,1104,49,Masculino,Bom
106,2022-12-01 07:31:21,006,Porto Alegre,Online,Tênis,Ultraboost,4,313,33,1105,57,Feminino,Ruim
107,2022-02-23 04:38:14,007,Porto Alegre,Online,Camisetas,Camiseta Estampada,2,472,36,1106,41,Outro,Ruim
108,2022-12-15 23:17:42,008,Rio de Janeiro,Online,Camisetas,Camiseta Estampada,3,510,33,1107,26,Outro,Bom
109,2022-03-19 05:59:55,009,Rio de Janeiro,Online,Camisetas,Camiseta Clássica,1,435,31,1108,25,Feminino,Bom
110,2022-09-30 22:30:50,010,São Paulo,Online,Calças,Calça Treino,4,584,35,1109,63,Outro,Ótimo
111,2022-08-21 13:52:07,011,Porto Alegre,Online,Tênis,Ultraboost,3,389,38,1110,29,Outro,Ótimo
112,2022-02-16 01:39:50,012,Porto Alegre,Loja Física,Tênis,Superstar,1,341,45,1111,32,Feminino,Ótimo
113,2022-12-12 18:46:43,013,São Paulo,Loja Física,Calças,Calça Treino,1,538,0,1112,36,Outro,Ruim
114,2022-08-08 19:40:58,014,Porto Alegre,Loja Física,Calças,Calça Casual,1,166,22,1113,27,Outro,Ruim
115,2022-07-03 17:12:22,015,Belo Horizonte,Online,Camisetas,Camiseta Estampada,4,377,8,1114,60,Feminino,Regular
116,2022-06-25 11:40:10,016,Belo Horizonte,Online,Calças,Calça Casual,2,453,45,1115,31,Outro,Ruim
117,2022-05-18 21:42:27,017,Rio de Janeiro,Loja Física,Camisetas,Camiseta Estampada,1,51,43,1116,62,Outro,Ótimo
118,2022-06-19 10:37:35,018,Porto Alegre,Online,Camisetas,Camiseta Clássica,2,330,29,1117,65,Feminino,Bom
119,2022-02-15 11:41:16,019,São Paulo,Online,Calças,Calça Casual,2,146,38,1118,16,Feminino,Bom
120,2022-12-22 09:01:53,020,São Paulo,Online,Camisetas,Camiseta Estampada,4,150,44,1119,44,Feminino,Ruim
121,2022-06-29 20:10:04,021,Rio de Janeiro,Online,Tênis,Ultraboost,1,542,17,1120,44,Feminino,Ótimo
122,2022-06-20 04:58:13,022,Belo Horizonte,Online,Calças,Calça Casual,3,334,7,1121,46,Masculino,Ruim
123,2022-10-07 00:29:52,023,São Paulo,Online,Calças,Calça Casual,4,393,13,1122,57,Feminino,Ótimo
124,2022-10-30 04:31:56,024,Belo Horizonte,Loja Física,Calças,Calça Treino,4,247,27,1123,35,Feminino,Regular
125,2022-07-01 03:44:54,025,Porto Alegre,Loja Física,Calças,Calça Casual,1,317,8,1124,46,Outro,Bom
126,2022-01-04 01:39:38,026,Porto Alegre,Online,Camisetas,Camiseta Clássica,3,475,22,1125,52,Feminino,Bom
127,2022-03-04 13:41:54,027,Porto Alegre,Online,Calças,Calça Treino,4,153,24,1126,31,Masculino,Ótimo
128,2022-08-31 12:01:33,028,Rio de Janeiro,Loja Física,Tênis,Superstar,2,523,6,1127,57,Feminino,Ótimo
129,2022-03-30 22:09:27,029,Rio de Janeiro,Loja Física,Calças,Calça Treino,1,515,10,1128,50,Masculino,Ruim
130,2022-12-06 10:32:33,030,Belo Horizonte,Online,Calças,Calça Casual,3,316,1,1129,58,Outro,Ótimo
131,2022-09-19 19:51:30,031,Rio de Janeiro,Online,Camisetas,Camiseta Clássica,4,78,17,1130,29,Feminino,Bom
132,2022-10-12 20:13:28,032,Porto Alegre,Online,Tênis,Superstar,1,573,44,1131,27,Outro,Ruim
133,2022-01-31 11:32:31,033,Rio de Janeiro,Online,Tênis,Superstar,3,483,35,1132,45,Masculino,Bom
134,2022-11-22 13:57:25,034,Rio de Janeiro,Loja Física,Tênis,Ultraboost,2,188,6,1133,69,Masculino,Ótimo
135,2022-07-08 22:24:48,035,Porto Alegre,Loja Física,Tênis,NMD,4,544,45,1134,19,Feminino,Regular
136,2022-02-28 19:06:58,036,Rio de Janeiro,Loja Física,Tênis,Superstar,2,120,28,1135,21,Feminino,Bom
137,2022-09-07 13:15:46,037,São Paulo,Loja Física,Calças,Calça Treino,3,86,14,1136,69,Outro,Ruim
138,2022-12-19 19:36:28,038,Rio de Janeiro,Loja Física,Calças,Calça Casual,1,246,17,1137,24,Outro,Regular
139,2022-10-31 15:04:49,039,Rio de Janeiro,Loja Física,Tênis,NMD,1,278,40,1138,49,Outro,Regular
140,2022-02-26 20:43:15,040,São Paulo,Loja Física,Camisetas,Camiseta Clássica,3,210,14,1139,30,Masculino,Regular
141,2022-08-22 00:57:53,041,São Paulo,Loja Física,Calças,Calça Treino,3,569,44,1140,16,Feminino,Ótimo
142,2022-03-09 11:20:19,042,Rio de Janeiro,Online,Camisetas,Camiseta Estampada,2,231,17,1141,34,Outro,Regular
143,2022-10-14 07:28:09,043,Porto Alegre,Loja Física,Tênis,Superstar,4,187,6,1142,52,Feminino,Bom
144,2022-12-31 07:46:05,044,Porto Alegre,Loja Física,Camisetas,Camiseta Estampada,2,98,7,1143,60,Feminino,Bom
145,2022-06-15 13:52:56,045,Rio de Janeiro,Online,Calças,Calça Casual,1,328,34,1144,32,Outro,Regular
146,2022-03-08 16:34:13,046,Belo Horizonte,Loja Física,Calças,Calça Treino,2,441,24,1145,65,Outro,Ótimo
147,2022-01-08 06:05:21,047,Rio de Janeiro,Online,Camisetas,Camiseta Clássica,3,371,48,1146,36,Masculino,Bom
148,2022-01-30 15:21:57,048,Porto Alegre,Online,Camisetas,Camiseta Estampada,3,296,5,1147,31,Feminino,Regular
149,2022-06-07 10:45:05,049,Belo Horizonte,Online,Tênis,Superstar,4,394,34,1148,53,Outro,Ruim
150,2022-04-16 20:41:33,050,São Paulo,Loja Física,Calças,Calça Treino,4,585,28,1149,46,Masculino,Regular
151,2022-09-30 20:35:39,051,Porto Alegre,Online,Camisetas,Camiseta Clássica,4,431,46,1150,24,Masculino,Ótimo
152,2022-01-24 20:44:10,052,São Paulo,Loja Física,Tênis,NMD,2,87,32,1151,61,Masculino,Ruim
153,2022-11-30 09:34:25,053,São Paulo,Loja Física,Calças,Calça Treino,4,369,11,1152,45,Outro,Regular
154,2022-09-02 04:01:23,054,Belo Horizonte,Loja Física,Tênis,Ultraboost,1,50,20,1153,49,Masculino,Ótimo
155,2022-04-01 11:31:41,055,Porto Alegre,Loja Física,Calças,Calça Treino,2,73,5,1154,46,Feminino,Regular
156,2022-07-07 02:05:50,056,Porto Alegre,Online,Camisetas,Camiseta Clássica,3,230,6,1155,31,Outro,Ruim
157,2022-03-24 16:03:26,057,Porto Alegre,Online,Camisetas,Camiseta Clássica,2,228,1,1156,52,Outro,Ruim
158,2022-08-07 19:37:03,058,Porto Alegre,Loja Física,Calças,Calça Casual,4,493,30,1157,36,Masculino,Bom
159,2022-04-21 21:07:29,059,Porto Alegre,Loja Física,Tênis,Ultraboost,3,157,27,1158,41,Feminino,Ótimo
160,2022-07-28 06:01:52,060,Belo Horizonte,Online,Tênis,Superstar,3,461,4,1159,32,Feminino,Ruim
161,2022-09-02 08:10:04,061,São Paulo,Online,Calças,Calça Treino,3,230,34,1160,18,Feminino,Ótimo
162,2022-10-29 19:13:53,062,Rio de Janeiro,Online,Camisetas,Camiseta Estampada,1,81,17,1161,55,Masculino,Ótimo
163,2022-08-07 02:49:26,063,São Paulo,Online,Camisetas,Camiseta Clássica,3,122,35,1162,66,Outro,Ruim
164,2022-11-04 10:11:20,064,São Paulo,Online,Calças,Calça Treino,4,96,25,1163,44,Feminino,Bom
165,2022-03-30 08:19:29,065,Belo Horizonte,Loja Física,Tênis,NMD,3,187,13,1164,17,Feminino,Ótimo
166,2022-06-20 15:37:41,066,Belo Horizonte,Loja Física,Camisetas,Camiseta Estampada,2,458,20,1165,15,Outro,Regular
167,2022-09-23 04:39:00,067,Belo Horizonte,Loja Física,Calças,Calça Casual,3,312,49,1166,53,Masculino,Bom
168,2022-04-14 16:03:07,068,Rio de Janeiro,Loja Física,Camisetas,Camiseta Clássica,3,194,27,1167,33,Masculino,Bom
169,2022-05-05 19:30:42,069,São Paulo,Loja Física,Camisetas,Camiseta Clássica,1,116,0,1168,46,Masculino,Regular
170,2022-07-31 22:33:59,070,Porto Alegre,Loja Física,Tênis,Ultraboost,4,436,34,1169,22,Outro,Bom
171,2022-11-07 16:52:40,071,Rio de Janeiro,Loja Física,Tênis,Superstar,3,118,48,1170,36,Feminino,Ruim
172,2022-06-02 23:02:20,072,Rio de Janeiro,Online,Camisetas,Camiseta Estampada,2,522,37,1171,28,Outro,Ruim
173,2022-04-27 19:53:24,073,São Paulo,Loja Física,Calças,Calça Treino,4,495,18,1172,17,Outro,Ruim
174,2022-02-15 21:17:13,074,Porto Alegre,Online,Tênis,NMD,2,421,27,1173,47,Feminino,Regular
175,2022-10-26 02:19:19,075,São Paulo,Online,Camisetas,Camiseta Clássica,2,338,13,1174,60,Masculino,Regular
176,2022-04-10 14:57:21,076,São Paulo,Loja Física,Camisetas,Camiseta Estampada,1,581,49,1175,29,Outro,Bom
177,2022-10-18 01:32:28,077,Porto Alegre,Online,Tênis,NMD,4,312,22,1176,52,Feminino,Ótimo
178,2022-09-09 00:40:34,078,Rio de Janeiro,Loja Física,Tênis,Superstar,3,151,38,1177,49,Masculino,Regular
179,2022-10-26 11:19:00,079,São Paulo,Loja Física,Camisetas,Camiseta Estampada,4,204,13,1178,67,Feminino,Ótimo
180,2022-11-26 18:20:19,080,Rio de Janeiro,Loja Física,Camisetas,Camiseta Clássica,4,420,13,1179,65,Masculino,Bom
181,2022-04-23 20:54:41,081,Belo Horizonte,Loja Física,Tênis,Superstar,4,460,3,1180,47,Outro,Regular
182,2022-03-16 15:03:22,082,São Paulo,Loja Física,Calças,Calça Casual,4,252,4,1181,58,Masculino,Regular
183,2022-12-16 02:31:19,083,Belo Horizonte,Online,Tênis,Ultraboost,4,427,0,1182,18,Masculino,Bom
184,2022-09-07 18:09:44,084,São Paulo,Loja Física,Camisetas,Camiseta Estampada,4,130,22,1183,42,Feminino,Regular
185,2022-10-30 11:03:49,085,Belo Horizonte,Online,Camisetas,Camiseta Clássica,3,75,32,1184,61,Outro,Ótimo
186,2022-01-15 01:11:57,086,Porto Alegre,Online,Camisetas,Camiseta Estampada,1,534,22,1185,66,Masculino,Regular
187,2022-01-03 12:20:50,087,Rio de Janeiro,Loja Física,Tênis,Superstar,3,178,8,1186,60,Outro,Ótimo
188,2022-06-25 19:45:06,088,São Paulo,Loja Física,Camisetas,Camiseta Clássica,1,279,18,1187,29,Masculino,Ótimo
189,2022-11-03 23:55:32,089,Rio de Janeiro,Online,Tênis,NMD,4,414,28,1188,39,Masculino,Ótimo
190,2022-08-25 21:49:45,090,Belo Horizonte,Online,Calças,Calça Casual,1,564,3,1189,53,Masculino,Bom
191,2022-11-23 07:03:53,091,Belo Horizonte,Loja Física,Camisetas,Camiseta Estampada,1,460,17,1190,48,Outro,Ruim
192,2022-01-14 10:35:07,092,São Paulo,Loja Física,Calças,Calça Treino,1,318,39,1191,61,Outro,Ruim
193,2022-12-07 18:19:45,093,Porto Alegre,Online,Tênis,NMD,3,146,35,1192,27,Masculino,Bom
194,2022-08-21 20:20:35,094,São Paulo,Online,Tênis,Superstar,2,254,37,1193,20,Feminino,Ruim
195,2022-01-28 14:49:02,095,Rio de Janeiro,Loja Física,Tênis,Ultraboost,1,467,40,1194,63,Masculino,Regular
196,2022-09-13 21:58:54,096,Belo Horizonte,Online,Calças,Calça Treino,4,87,35,1195,19,Masculino,Ruim
197,2022-07-13 05:53:33,097,Rio de Janeiro,Loja Física,Camisetas,Camiseta Estampada,1,451,31,1196,22,Masculino,Regular
198,2022-06-04 17:11:01,098,Rio de Janeiro,Online,Tênis,NMD,1,508,39,1197,36,Feminino,Ótimo
199,2022-06-28 18:44:18,099,Rio de Janeiro,Online,Tênis,NMD,4,463,29,1198,20,Feminino,Bom
200,2022-03-01 15:52:07,100,Porto Alegre,Online,Tênis,NMD,4,371,18,1199,24,Outro,Regular
201,2022-04-03 13:05:53,001,São Paulo,Loja Física,Tênis,NMD,3,482,22,1200,63,Feminino,Regular
202,2022-04-29 15:50:59,002,Porto Alegre,Online,Camisetas,Camiseta Estampada,4,587,30,1201,29,Outro,Ótimo
203,2022-08-15 23:03:20,003,São Paulo,Online,Tênis,NMD,3,584,16,1202,42,Feminino,Regular
204,2022-09-17 16:05:29,004,Rio de Janeiro,Loja Física,Camisetas,Camiseta Clássica,1,222,38,1203,41,Masculino,Ruim
205,2022-06-16 04:34:49,005,Porto Alegre,Loja Física,Camisetas,Camiseta Clássica,4,95,18,1204,15,Masculino,Ótimo
206,2022-12-28 06:29:18,006,São Paulo,Loja Física,Camisetas,Camiseta Estampada,2,271,12,1205,37,Feminino,Regular
207,2022-09-04 04:00:11,007,Belo Horizonte,Online,Calças,Calça Treino,4,234,30,1206,44,Feminino,Ótimo
208,2022-04-16 15:21:50,008,Porto Alegre,Loja Física,Tênis,Ultraboost,2,486,29,1207,57,Masculino,Regular
209,2022-05-13 09:50:21,009,Porto Alegre,Loja Física,Camisetas,Camiseta Estampada,3,337,21,1208,50,Masculino,Regular
210,2022-10-23 17:37:43,010,Belo Horizonte,Loja Física,Calças,Calça Casual,3,258,27,1209,42,Masculino,Bom
211,2022-12-09 07:52:51,011,Porto Alegre,Online,Camisetas,Camiseta Clássica,2,245,47,1210,25,Masculino,Ruim
212,2022-04-28 11:33:20,012,Rio de Janeiro,Online,Camisetas,Camiseta Estampada,4,333,5,1211,41,Outro,Regular
213,2022-12-22 22:26:02,013,Porto Alegre,Loja Física,Calças,Calça Treino,1,175,11,1212,28,Masculino,Ruim
214,2022-07-28 13:05:27,014,Rio de Janeiro,Loja Física,Camisetas,Camiseta Clássica,3,188,39,1213,65,Feminino,Bom
215,2022-03-05 04:48:44,015,São Paulo,Loja Física,Tênis,Ultraboost,2,242,16,1214,60,Masculino,Bom
216,2022-09-09 12:37:18,016,Belo Horizonte,Loja Física,Tênis,NMD,2,515,3,1215,33,Feminino,Bom
217,2022-02-06 06:07:11,017,Porto Alegre,Online,Camisetas,Camiseta Clássica,2,581,47,1216,27,Outro,Ótimo
218,2022-08-14 18:19:23,018,Porto Alegre,Loja Física,Tênis,Superstar,4,543,10,1217,32,Outro,Ótimo
219,2022-02-12 08:04:16,019,Porto Alegre,Online,Tênis,NMD,3,543,36,1218,35,Outro,Bom
220,2022-11-22 16:48:55,020,São Paulo,Loja Física,Tênis,NMD,4,204,13,1219,29,Masculino,Regular
